File,Tool,Method_Name,Prompt(s)_Used
ExampleFile,ChatGPT,ExampleMethod,My prompt was… Replace this row with your real first use of Gen AI
crimes_controller,ChatGPT,class CrimesController < ApplicationController,My prompt was… write crime controler code to pass the tests …
criminals_controller,ChatGPT,class CriminalsController < ApplicationController,My prompt was… write criminal controler code to pass the tests …
investigation_controller,ChatGPT,class InvestigationsController < ApplicationController,My prompt was… write investigation controler code to pass the tests …
officers_controller,ChatGPT,class OfficersController < ApplicationController,My prompt was… write officer controler code to pass the tests …
sessions_controller,ChatGPT,class SessionsController < ApplicationController,My prompt was… write session controler code to pass the tests …
units_controller,ChatGPT,class UnitsController < ApplicationController,My prompt was… write unit controler code to pass the tests …
application_controller,ChatGPT,class ApplicationController < ActionController::Base,My prompt was… write application controler code to pass the tests …
views/crimes,ChatGPT,,My prompt was… write crimes views to handle crud operation
views/criminals,ChatGPT,,My prompt was… write criminal views to handle crud operation
views/investigations,ChatGPT,,My prompt was… write investigation views to handle crud operation
views/officers,ChatGPT,,My prompt was… write officers views to handle crud operation
views/units,ChatGPT,,My prompt was… write units views to handle crud operation
views/sessions,ChatGPT,,My prompt was… write session views for #new
application.html.erb,ChatGPT,,My prompt was… modify view to pass the cucumber test feature 1…
units/index.html & show,ChatGPT,,My prompt was… modify view to pass the cucumber test feature 2…
officers/index.html & show,ChatGPT,,My prompt was… modify view to pass the cucumber test feature 3…
investigations/index.html.erb,ChatGPT,,My prompt was… modify view to pass the cucumber test feature 4…
units/new.html,ChatGPT,,My prompt was… modify view to pass the cucumber test feature 5…
CurrentAssignments.js,ChatGPT,const CurrentAssignments = ({ assignments }),"My prompt was… help me write the currentassignment.js to fulfill the requirement ""There will be a card/panel showing the assignment of officers who are currently working on the investigation. This list will have the rank and name of the officer as well as the date the officer was assigned to the case. If there are no officers currently assigned to the investigation, a note to that effect should appear."""
InvestigationNotes.js,ChatGPT,"function InvestigationNotes({ notes, investigationId }){","My prompt was… help me write the InvestigationNotes.js.js to fulfill the requirement ""There is a panel and/or series of cards showing notes that assigned officers have made regarding the investigation, the date the note was made, and the name of the officer making the note. """
Suspects.js,ChatGPT,"function SuspectEditor({ close, onSave })","My prompt was… help me write the Suspects.js.js to fulfill the requirement ""There will be a card/panel containing the list of suspects associated with the investigation, both the name of the criminal and the date the criminal became an official suspect. If there are no current suspects for an investigation, a note to that effect should appear. In addition, for each criminal in the suspect list, there should be some control to drop the person as a suspect; note that this will not remove them from the list, but rather set the dropped date to the current date."""
,,,
,,,
,,,
,,,
,,,
References,,,
https://dc-comics-cinematic-universe.fandom.com/wiki/Gotham_City_Police_Department ,,,
https://batman.fandom.com/wiki/Gotham_City_Police_Department ,,,
https://dc.fandom.com/wiki/Gotham_City_Police_Department ,,,
https://variety.com/2014/scene/news/gotham-city-comes-to-life-for-one-night-in-nyc-as-fox-launches-gotham-1201306639/ ,,,
